RelaciónCompraAlquiler;Departamento;Año;PROMEDIO(RAI/RCI)-MIDES;PROMEDIO(RAI/RCI)-ECH;PorcentajeDiferencia
Compra;San José;2008;10.3;10.56;2.52
Alquiler;Soriano;2008;13.6;14.91;9.63
Compra;Soriano;2008;9.3;9.64;3.66
Alquiler;Tacuarembó;2008;15.4;15.59;1.23
Compra;Tacuarembó;2008;12.9;12.52;2.95
Alquiler;Treinta y Tres;2008;14;13.88;0.86
Compra;Treinta y Tres;2008;9.2;9.96;8.26
Alquiler;Artigas;2009;15.8;14.73;6.77
Compra;Artigas;2009;6.9;7.12;3.19
Alquiler;Canelones;2009;16.2;16.34;0.86
Compra;Canelones;2009;12.2;12.11;0.74
Alquiler;Cerro Largo;2009;14.6;13.76;5.75
Compra;Cerro Largo;2009;11.1;10.48;5.59
Alquiler;Colonia;2009;17.2;16.39;4.71
Compra;Colonia;2009;12.6;12.82;1.75
Alquiler;Durazno;2009;13.3;12.59;5.34
Compra;Durazno;2009;8.9;8.62;3.15
Alquiler;Flores;2009;17.8;16.16;9.21
Compra;Flores;2009;9.4;9.8;4.26
Alquiler;Florida;2009;15.3;15.92;4.05
Compra;Florida;2009;6.2;9.04;45.81
Alquiler;Lavalleja;2009;18;17.57;2.39
Compra;Lavalleja;2009;9.4;9.59;2.02
Alquiler;Maldonado;2009;18.7;18.75;0.27
Compra;Maldonado;2009;13.5;13.06;3.26
Alquiler;Montevideo;2009;21.7;21.33;1.71
Compra;Montevideo;2009;14.3;14.21;0.63
Alquiler;Paysandu;2009;19.5;18.16;6.87
Compra;Paysandu;2009;11.1;10.89;1.89
Alquiler;Rio Negro;2009;18.6;16.3;12.37
Compra;Rio Negro;2009;10.1;10.08;0.2
Alquiler;Rivera;2009;14.6;14.36;1.64
Compra;Rivera;2009;10.4;10.55;1.44
Alquiler;Rocha;2009;14.7;13.62;7.35
Compra;Rocha;2009;8.1;8.92;10.12
Alquiler;Salto;2009;16.7;15.53;7.01
Compra;Salto;2009;8.7;9.54;9.66
Alquiler;San José;2009;15.5;14.88;4
Compra;San José;2009;9.5;10.11;6.42
Alquiler;Soriano;2009;15.2;14.6;3.95
Compra;Soriano;2009;9.2;9.59;4.24
Alquiler;Tacuarembó;2009;17.4;16.83;3.28
Compra;Tacuarembó;2009;9.4;10.52;11.91
Alquiler;Treinta y Tres;2009;15.2;14.49;4.67
Compra;Treinta y Tres;2009;13.3;13.21;0.68
Alquiler;Artigas;2010;25.7;25.58;0.47
Compra;Artigas;2010;6.3;7.51;19.21
Alquiler;Canelones;2010;16.1;16.09;0.06
Compra;Canelones;2010;12.2;12.22;0.16
Alquiler;Cerro Largo;2010;15.2;14.91;1.91
Compra;Cerro Largo;2010;9.2;9.28;0.87
Alquiler;Colonia;2010;15.7;15.45;1.59
Compra;Colonia;2010;12;14.26;18.83
Alquiler;Durazno;2010;15.2;14.75;2.96
Compra;Durazno;2010;7.5;8.66;15.47
Alquiler;Flores;2010;15.3;15.82;3.4
Compra;Flores;2010;10.2;10.52;3.14
Alquiler;Florida;2010;17.1;16.56;3.16
Compra;Florida;2010;6.7;9.22;37.61
Alquiler;Lavalleja;2010;13.8;13.88;0.58
Compra;Lavalleja;2010;8.8;10.8;22.73
Alquiler;Maldonado;2010;19.3;18.71;3.06
Compra;Maldonado;2010;11.6;11.63;0.26
Alquiler;Montevideo;2010;20.9;20.73;0.81
Compra;Montevideo;2010;13.9;14.06;1.15
Alquiler;Paysandu;2010;17.5;17.98;2.74
Compra;Paysandu;2010;7.1;8.08;13.8
Alquiler;Rio Negro;2010;15.3;15.35;0.33
Compra;Rio Negro;2010;7.4;9.53;28.78
Alquiler;Rivera;2010;13.7;13.04;4.82
Compra;Rivera;2010;7;6.47;7.57
Alquiler;Rocha;2010;14.1;14.04;0.43
Compra;Rocha;2010;8.4;9.22;9.76
Alquiler;Salto;2010;16.5;15.75;4.55
Compra;Salto;2010;8.1;9.87;21.85
Alquiler;San José;2010;16;14.46;9.62
Compra;San José;2010;8.5;9.51;11.88
Alquiler;Soriano;2010;16;15.65;2.19
Compra;Soriano;2010;8.2;10.1;23.17
