"RelaciónCompraAlquiler";"DPTO";"Año";"Valor"
"Alquiler";11,00;2019;19,34
"Alquiler";12,00;2006;14,89
"Alquiler";12,00;2007;21,66
"Alquiler";12,00;2008;17,20
"Alquiler";12,00;2009;16,30
"Alquiler";12,00;2010;15,35
"Alquiler";12,00;2011;13,36
"Alquiler";12,00;2012;16,44
"Alquiler";12,00;2013;14,14
"Alquiler";12,00;2014;14,07
"Alquiler";12,00;2015;17,10
"Alquiler";12,00;2016;13,24
"Alquiler";12,00;2017;15,45
"Alquiler";12,00;2018;16,12
"Alquiler";12,00;2019;15,16
"Alquiler";13,00;2006;14,47
"Alquiler";13,00;2007;16,50
"Alquiler";13,00;2008;14,47
"Alquiler";13,00;2009;14,36
"Alquiler";13,00;2010;13,04
"Alquiler";13,00;2011;14,73
"Alquiler";13,00;2012;17,14
"Alquiler";13,00;2013;17,74
"Alquiler";13,00;2014;17,86
"Alquiler";13,00;2015;19,29
"Alquiler";13,00;2016;19,26
"Alquiler";13,00;2017;17,87
"Alquiler";13,00;2018;19,97
"Alquiler";13,00;2019;18,43
"Alquiler";14,00;2006;15,91
"Alquiler";14,00;2007;15,83
"Alquiler";14,00;2008;13,69
"Alquiler";14,00;2009;13,62
"Alquiler";14,00;2010;14,04
"Alquiler";14,00;2011;13,52
"Alquiler";14,00;2012;15,84
"Alquiler";14,00;2013;16,84
"Alquiler";14,00;2014;15,47
"Alquiler";14,00;2015;16,33
"Alquiler";14,00;2016;19,33
"Alquiler";14,00;2017;17,49
"Alquiler";14,00;2018;17,02
"Alquiler";14,00;2019;18,52
"Alquiler";15,00;2006;16,35
"Alquiler";15,00;2007;17,40
"Alquiler";15,00;2008;15,96
"Alquiler";15,00;2009;15,53
"Alquiler";15,00;2010;15,75
"Alquiler";15,00;2011;17,07
"Alquiler";15,00;2012;17,29
"Alquiler";15,00;2013;18,49
"Alquiler";15,00;2014;18,52
"Alquiler";15,00;2015;17,88
"Alquiler";15,00;2016;18,92
"Alquiler";15,00;2017;18,37
"Alquiler";15,00;2018;18,17
"Alquiler";15,00;2019;20,01
"Alquiler";16,00;2006;15,96
"Alquiler";16,00;2007;16,33
"Alquiler";16,00;2008;15,34
"Alquiler";16,00;2009;14,88
"Alquiler";16,00;2010;14,46
"Alquiler";16,00;2011;14,73
"Alquiler";16,00;2012;14,27
"Alquiler";16,00;2013;15,61
"Alquiler";16,00;2014;15,41
"Alquiler";16,00;2015;16,15
"Alquiler";16,00;2016;17,44
"Alquiler";16,00;2017;15,49
"Alquiler";16,00;2018;17,81
"Alquiler";16,00;2019;14,85
"Alquiler";17,00;2006;15,41
"Alquiler";17,00;2007;15,85
"Alquiler";17,00;2008;14,91
"Alquiler";17,00;2009;14,60
"Alquiler";17,00;2010;15,65
"Alquiler";17,00;2011;16,80
"Alquiler";17,00;2012;16,01
"Alquiler";17,00;2013;15,69
"Alquiler";17,00;2014;16,49
"Alquiler";17,00;2015;17,51
"Alquiler";17,00;2016;18,24
"Alquiler";17,00;2017;16,58
"Alquiler";17,00;2018;17,37
"Alquiler";17,00;2019;19,21
"Alquiler";18,00;2006;17,69
"Alquiler";18,00;2007;16,74
"Alquiler";18,00;2008;15,59
"Alquiler";18,00;2009;16,83
"Alquiler";18,00;2010;15,53
"Alquiler";18,00;2011;18,67
"Alquiler";18,00;2012;20,09
"Alquiler";18,00;2013;17,47
"Alquiler";18,00;2014;18,37
"Alquiler";18,00;2015;20,89
"Alquiler";18,00;2016;17,81
"Alquiler";18,00;2017;19,40
"Alquiler";18,00;2018;19,70
"Alquiler";18,00;2019;19,80
"Alquiler";19,00;2006;14,58
"Alquiler";19,00;2007;14,50
"Alquiler";19,00;2008;13,88
"Alquiler";19,00;2009;14,49
"Alquiler";19,00;2010;13,53
"Alquiler";19,00;2011;14,17
"Alquiler";19,00;2012;15,49
